,description
856,"Milk shakes, thick chocolate contributes 119.0 calories. Nutritionally, it has 2.7 grams of fat, 0.011 grams of cholesterol, and 0.00031 grams of iron, as well as 20.85 grams of sugars and 21.15 grams of carbohydrates."
857,"In Grapefruit juice, raw, white, you get 39.0 calories. The nutritional content includes 0.1 grams of fat, 0.0 grams of cholesterol, and 0.0002 grams of iron. There are also 9.1 grams of sugar and 9.2 grams of carbs."
858,"Babyfood, arrowroot, cookies contributes 424.0 calories. Nutritionally, it has 10.0 grams of fat, 0.0 grams of cholesterol, and 0.003 grams of iron, as well as 0.0 grams of sugars and 75.4 grams of carbohydrates."
859,"Fish, raw, Atlantic, pollock consists of 92.0 calories. It contains 1.0 grams of fat, 0.071 grams of cholesterol, and 0.00046 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
860,"Egg, raw, fresh, whole, duck has 185.0 calories. It contains 14.0 grams of fat, 0.884 grams of cholesterol, 0.00385 grams of iron, 0.93 grams of sugars, and 1.45 grams of carbohydrates."
861,"McDONALD'S, Sausage McMUFFIN tallies 333.0 calories. The nutritional profile includes 21.0 grams of fat, 0.039 grams of cholesterol, and 0.00204 grams of iron, along with 1.93 grams of sugars and 24.52 grams of carbohydrates."
862,"HEALTHY REQUEST Tomato juice contributes 21.0 calories. Nutritionally, it has 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 3.7 grams of sugars and 4.53 grams of carbohydrates."
863,"The food item Crackers, whole-wheat, matzo provides 351.0 calories. You can find 1.5 grams of fat, 0.0 grams of cholesterol, and 0.0046500000000000005 grams of iron. It also contains 0.0 grams of sugars and 78.9 grams of carbohydrates."
864,"Soup, dry, cubed, beef broth indicates 170.0 calories. It contains 4.0 grams of fat, 0.004 grams of cholesterol, and 0.0022299999999999998 grams of iron, as well as 14.51 grams of sugars and 16.1 grams of carbohydrates."
865,"Puddings, ready-to-eat, rice signifies 108.0 calories. It contains 2.2 grams of fat, 0.012 grams of cholesterol, and 0.00011 grams of iron, as well as 11.59 grams of sugars and 18.39 grams of carbohydrates."
866,"Pectin, dry mix, unsweetened produces 325.0 calories. It contains 0.3 grams of fat, 0.0 grams of cholesterol, and 0.00271 grams of iron, as well as 0.0 grams of sugars and 90.4 grams of carbohydrates."
867,"Candies, CARAMELLO Candy Bar generates 462.0 calories. The nutritional breakdown includes 21.0 grams of fat, 0.027 grams of cholesterol, and 0.00109 grams of iron, along with 56.92 grams of sugars and 63.81 grams of carbohydrates."
868,"Veal, raw, external fat only reflects 503.0 calories. Nutritionally, it includes 52.0 grams of fat, 0.086 grams of cholesterol, and 0.00073 grams of iron, along with 0.0 grams of sugars and 0.89 grams of carbohydrates."
869,"Seeds, raw, breadfruit seeds yields 191.0 calories. Nutritionally, it includes 5.6 grams of fat, 0.0 grams of cholesterol, and 0.00367 grams of iron, along with 0.0 grams of sugars and 29.24 grams of carbohydrates."
870,"In Mushrooms, stir-fried, white, you get 26.0 calories. The nutritional content includes 0.3 grams of fat, 0.0 grams of cholesterol, and 0.00025 grams of iron. There are also 0.0 grams of sugar and 4.04 grams of carbs."
871,"Snacks, rolls, fruit leather displays 371.0 calories. Nutritionally, it includes 3.0 grams of fat, 0.0 grams of cholesterol, and 0.00101 grams of iron, along with 49.16 grams of sugars and 85.8 grams of carbohydrates."
872,"Sauce, thin, white, homemade consists of 105.0 calories. It contains 6.7 grams of fat, 0.008 grams of cholesterol, and 0.00020999999999999998 grams of iron, along with 4.78 grams of sugars and 7.4 grams of carbohydrates."
873,"Sauce, ready-to-serve, salsa encompasses 29.0 calories. It contains 0.2 grams of fat, 0.0 grams of cholesterol, and 0.00041999999999999996 grams of iron, along with 4.01 grams of sugars and 6.64 grams of carbohydrates."
874,"Peppers, raw, red, hot chili exhibits 40.0 calories. It contains 0.4 grams of fat, 0.0 grams of cholesterol, and 0.00103 grams of iron, as well as 5.3 grams of sugars and 8.81 grams of carbohydrates."
875,"Squash, raw, scallop, summer equals 18.0 calories. Nutritionally, it includes 0.2 grams of fat, 0.0 grams of cholesterol, and 0.0004 grams of iron, along with 2.39 grams of sugars and 3.84 grams of carbohydrates."
876,"Currants, raw, red and white makes up 56.0 calories. The nutritional breakdown includes 0.2 grams of fat, 0.0 grams of cholesterol, and 0.001 grams of iron, along with 7.37 grams of sugars and 13.8 grams of carbohydrates."
877,"Crustaceans, raw, blue, crab serves up 87.0 calories. Nutritionally, it contains 1.1 grams of fat, 0.078 grams of cholesterol, and 0.00074 grams of iron, along with 0.0 grams of sugars and 0.04 grams of carbohydrates."
878,"Pie fillings, cherry, canned stands at 115.0 calories. It contains 0.1 grams of fat, 0.0 grams of cholesterol, and 0.00023999999999999998 grams of iron, as well as 0.0 grams of sugars and 28.0 grams of carbohydrates."
879,"Yogurt, nonfat, plain, Greek stands at 59.0 calories. It contains 0.4 grams of fat, 0.005 grams of cholesterol, and 7.000000000000001e-05 grams of iron, as well as 3.24 grams of sugars and 3.6 grams of carbohydrates."
880,"Crackers, reduced fat, wheat displays 444.0 calories. Nutritionally, it includes 13.0 grams of fat, 0.0 grams of cholesterol, and 0.005019999999999999 grams of iron, along with 15.01 grams of sugars and 71.52 grams of carbohydrates."
881,"Gravy, powder, dry, mushroom is a food with 328.0 calories. It provides 4.0 grams of fat, 0.003 grams of cholesterol, and 0.001 grams of iron. You can also find 3.26 grams of sugars and 64.66 grams of carbohydrates in it."
882,"Gravy, dry, unspecified type holds 344.0 calories. It contains 8.0 grams of fat, 0.004 grams of cholesterol, and 0.001 grams of iron, along with 0.0 grams of sugars and 58.0 grams of carbohydrates."
883,"Seeds, low-fat, sesame flour serves up 333.0 calories. Nutritionally, it contains 1.8 grams of fat, 0.0 grams of cholesterol, and 0.01422 grams of iron, along with 0.0 grams of sugars and 35.51 grams of carbohydrates."
884,"Mushrooms, microwaved, white provides 35.0 calories. It contains 0.5 grams of fat, 0.0 grams of cholesterol, and 0.00033 grams of iron, as well as 0.0 grams of sugars and 6.04 grams of carbohydrates."
885,"Beverages, AMP, Energy drink contains 46.0 calories. It has 0.1 grams of fat, 0.0 grams of cholesterol, and 2e-05 grams of iron, plus 12.08 grams of sugars and 12.08 grams of carbohydrates."
886,"SILK Black Cherry soy yogurt delivers 88.0 calories. It contains 1.2 grams of fat, 0.0 grams of cholesterol, and 0.00064 grams of iron, as well as 11.76 grams of sugars and 17.06 grams of carbohydrates."
887,"Snack, original bar, BALANCE represents 415.0 calories. It contains 12.0 grams of fat, 0.001 grams of cholesterol, and 0.0109 grams of iron, as well as 34.89 grams of sugars and 48.73 grams of carbohydrates."
888,"Beverages, well, tap, water contributes 0.0 calories. Nutritionally, it has 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
889,"The food item Chrysanthemum, raw, garland provides 24.0 calories. You can find 0.6 grams of fat, 0.0 grams of cholesterol, and 0.00229 grams of iron. It also contains 0.0 grams of sugars and 3.02 grams of carbohydrates."
890,"Stew, moose (Alaska Native) stands at 55.0 calories. It contains 0.5 grams of fat, 0.0 grams of cholesterol, and 0.00152 grams of iron, as well as 0.0 grams of sugars and 6.0 grams of carbohydrates."
891,"Ice creams, rich, chocolate holds 251.0 calories. It contains 17.0 grams of fat, 0.06 grams of cholesterol, and 0.00102 grams of iron, along with 17.35 grams of sugars and 19.78 grams of carbohydrates."
892,"Oil, walrus (Alaska Native) displays 900.0 calories. Nutritionally, it includes 100.0 grams of fat, 0.12 grams of cholesterol, and 0.0 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
893,"Grapefruit juice, raw, pink stands at 39.0 calories. It contains 0.1 grams of fat, 0.0 grams of cholesterol, and 0.0002 grams of iron, as well as 0.0 grams of sugars and 9.2 grams of carbohydrates."
894,"Babyfood, junior, ham, meat contributes 97.0 calories. Nutritionally, it has 3.8 grams of fat, 0.029 grams of cholesterol, and 0.00101 grams of iron, as well as 0.0 grams of sugars and 3.7 grams of carbohydrates."
895,"Radish seeds, raw, sprouted encompasses 43.0 calories. It contains 2.5 grams of fat, 0.0 grams of cholesterol, and 0.00086 grams of iron, along with 0.0 grams of sugars and 3.6 grams of carbohydrates."
896,"MORI-NU, firm, silken, Tofu contains 62.0 calories. In terms of nutrition, it has 2.7 grams of fat, 0.0 grams of cholesterol, and 0.00103 grams of iron. Additionally, it includes 1.27 grams of sugar and 2.4 grams of carbs."
897,"MORI-NU, soft, silken, Tofu indicates 55.0 calories. It contains 2.7 grams of fat, 0.0 grams of cholesterol, and 0.00082 grams of iron, as well as 1.31 grams of sugars and 2.9 grams of carbohydrates."
898,"With 203.0 calories, Bread, rye, reduced-calorie offers 2.9 grams of fat, 0.0 grams of cholesterol, 0.0031 grams of iron, 2.29 grams of sugars, and 40.5 grams of carbohydrates."
899,"Snacks, air-popped, popcorn equals 387.0 calories. Nutritionally, it includes 4.5 grams of fat, 0.0 grams of cholesterol, and 0.00319 grams of iron, along with 0.87 grams of sugars and 77.78 grams of carbohydrates."
900,"Muffins, dry mix, blueberry carries 293.0 calories. It has 3.3 grams of fat, 0.0 grams of cholesterol, and 0.0016200000000000001 grams of iron, as well as 32.73 grams of sugars and 61.0 grams of carbohydrates."
901,"Frankfurter, unheated, beef delivers 316.0 calories. Nutritionally, it has 28.0 grams of fat, 0.055 grams of cholesterol, and 0.0012 grams of iron. It also includes 1.31 grams of sugar and 3.36 grams of carbs."
902,"The food named Turkey, raw, giblets, whole has 124.0 calories. It contains 5.1 grams of fat, 0.333 grams of cholesterol, 0.00592 grams of iron, 0.0 grams of sugar, and 0.07 grams of carbohydrates."
903,"Corn pudding, home prepared displays 131.0 calories. Nutritionally, it includes 5.0 grams of fat, 0.072 grams of cholesterol, and 0.00053 grams of iron, along with 6.59 grams of sugars and 16.97 grams of carbohydrates."
904,"Popovers, enriched, dry mix generates 371.0 calories. The nutritional breakdown includes 4.3 grams of fat, 0.0 grams of cholesterol, and 0.00297 grams of iron, along with 0.0 grams of sugars and 71.0 grams of carbohydrates."
905,"Soybeans, raw, mature seeds reflects 446.0 calories. Nutritionally, it includes 20.0 grams of fat, 0.0 grams of cholesterol, and 0.0157 grams of iron, along with 7.33 grams of sugars and 30.16 grams of carbohydrates."
906,"Beef sausage, cooked, fresh contributes 332.0 calories. Nutritionally, it has 28.0 grams of fat, 0.082 grams of cholesterol, and 0.00157 grams of iron, as well as 0.0 grams of sugars and 0.35 grams of carbohydrates."
907,"Luncheon meat, canned, pork gives you 334.0 calories. It contains 30.0 grams of fat, 0.062 grams of cholesterol, and 0.0007199999999999999 grams of iron. Additionally, it includes 0.0 grams of sugar and 2.1 grams of carbs."
908,"The food named MURRAY, Vanilla Sugar Wafer has 527.0 calories. It contains 26.0 grams of fat, 0.0 grams of cholesterol, 0.0018 grams of iron, 41.0 grams of sugar, and 70.0 grams of carbohydrates."
909,"Radishes, raw, white icicle tallies 14.0 calories. The nutritional profile includes 0.1 grams of fat, 0.0 grams of cholesterol, and 0.0008 grams of iron, along with 0.0 grams of sugars and 2.63 grams of carbohydrates."
910,"Vinespinach, raw, (basella) indicates 19.0 calories. It contains 0.3 grams of fat, 0.0 grams of cholesterol, and 0.0012 grams of iron, as well as 0.0 grams of sugars and 3.4 grams of carbohydrates."
911,"Syrups, high-fructose, corn signifies 281.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 2.9999999999999997e-05 grams of iron, as well as 75.65 grams of sugars and 76.0 grams of carbohydrates."
912,"Stew, steamed corn (Navajo) represents 112.0 calories. It contains 3.8 grams of fat, 0.0 grams of cholesterol, and 0.0011 grams of iron, as well as 0.51 grams of sugars and 10.8 grams of carbohydrates."
913,"OSCAR MAYER, Bologna (beef) tallies 316.0 calories. The nutritional profile includes 29.0 grams of fat, 0.064 grams of cholesterol, and 0.00136 grams of iron, along with 1.4 grams of sugars and 2.45 grams of carbohydrates."
914,"Ostrich, raw, outside strip indicates 120.0 calories. It contains 2.2 grams of fat, 0.079 grams of cholesterol, and 0.00369 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
915,"The food item Milk, fluid, indian buffalo provides 97.0 calories. You can find 6.9 grams of fat, 0.019 grams of cholesterol, and 0.00011999999999999999 grams of iron. It also contains 0.0 grams of sugars and 5.18 grams of carbohydrates."
916,"Nuts, dried, black, walnuts carries 619.0 calories. It has 59.0 grams of fat, 0.0 grams of cholesterol, and 0.00312 grams of iron, as well as 1.1 grams of sugars and 9.58 grams of carbohydrates."
917,"ON THE BORDER, Mexican rice gives you 195.0 calories. It contains 4.9 grams of fat, 0.0 grams of cholesterol, and 0.0011799999999999998 grams of iron. Additionally, it includes 1.38 grams of sugar and 34.15 grams of carbs."
918,"Mushrooms, raw, Chanterelle equals 38.0 calories. Nutritionally, it includes 0.5 grams of fat, 0.0 grams of cholesterol, and 0.00347 grams of iron, along with 1.16 grams of sugars and 6.86 grams of carbohydrates."
919,"The food item McDONALD'S, Baked Apple Pie provides 323.0 calories. You can find 16.0 grams of fat, 0.0 grams of cholesterol, and 0.00199 grams of iron. It also contains 17.25 grams of sugars and 43.62 grams of carbohydrates."
920,"McDONALD'S, Sausage Biscuit gives you 376.0 calories. It contains 25.0 grams of fat, 0.029 grams of cholesterol, and 0.0020099999999999996 grams of iron. Additionally, it includes 1.97 grams of sugar and 27.2 grams of carbs."
921,"CHICK-FIL-A, Chick-n-Strips makes up 228.0 calories. The nutritional breakdown includes 11.0 grams of fat, 0.056 grams of cholesterol, and 0.0009699999999999999 grams of iron, along with 1.24 grams of sugars and 10.39 grams of carbohydrates."
922,"Edamame, unprepared, frozen generates 109.0 calories. The nutritional breakdown includes 4.7 grams of fat, 0.0 grams of cholesterol, and 0.00211 grams of iron, along with 2.48 grams of sugars and 7.61 grams of carbohydrates."
923,"Mollusks, raw, blue, mussel is a food with 86.0 calories. It provides 2.2 grams of fat, 0.028 grams of cholesterol, and 0.00395 grams of iron. You can also find 0.0 grams of sugars and 3.69 grams of carbohydrates in it."
924,"Quail, total edible, cooked offers 227.0 calories. The nutritional breakdown includes 14.0 grams of fat, 0.086 grams of cholesterol, and 0.00443 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
925,"Cereals, dry, CREAM OF RICE stands at 370.0 calories. It contains 0.5 grams of fat, 0.0 grams of cholesterol, and 0.02844 grams of iron, as well as 0.3 grams of sugars and 82.4 grams of carbohydrates."
926,"LEAN POCKETS, Ham N Cheddar reveals 230.0 calories. It contains 6.5 grams of fat, 0.02 grams of cholesterol, and 0.00215 grams of iron, as well as 7.6 grams of sugars and 32.52 grams of carbohydrates."
927,"Snacks, tropical, trail mix encompasses 442.0 calories. It contains 17.0 grams of fat, 0.0 grams of cholesterol, and 0.00264 grams of iron, along with 0.0 grams of sugars and 65.6 grams of carbohydrates."
928,"Nuts, full fat, acorn flour holds 501.0 calories. It contains 30.0 grams of fat, 0.0 grams of cholesterol, and 0.00121 grams of iron, along with 0.0 grams of sugars and 54.65 grams of carbohydrates."
929,"Sauce, ready-to-serve, fish yields 35.0 calories. Nutritionally, it includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.00078 grams of iron, along with 3.64 grams of sugars and 3.64 grams of carbohydrates."
930,"Fish, raw, european, turbot exhibits 95.0 calories. It contains 3.0 grams of fat, 0.048 grams of cholesterol, and 0.00035999999999999997 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
931,"Fast foods, caramel, sundae is a food with 196.0 calories. It provides 6.0 grams of fat, 0.016 grams of cholesterol, and 0.00014000000000000001 grams of iron. You can also find 0.0 grams of sugars and 31.81 grams of carbohydrates in it."
932,"Pie fillings, canned, apple produces 100.0 calories. It contains 0.1 grams of fat, 0.0 grams of cholesterol, and 0.00029 grams of iron, as well as 13.8 grams of sugars and 26.1 grams of carbohydrates."
933,"With 184.0 calories, Sauce, ready-to-serve, plum offers 1.0 grams of fat, 0.0 grams of cholesterol, 0.0014299999999999998 grams of iron, 0.0 grams of sugars, and 42.81 grams of carbohydrates."
934,"Ostrich, cooked, inside leg demonstrates 141.0 calories. The nutritional content includes 1.9 grams of fat, 0.073 grams of cholesterol, and 0.00312 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
935,"Gravy, mushroom, CAMPBELL'S equals 34.0 calories. Nutritionally, it includes 1.7 grams of fat, 0.008 grams of cholesterol, and 0.0 grams of iron, along with 1.69 grams of sugars and 5.08 grams of carbohydrates."
936,"Snacks, smoked, beef sticks reflects 550.0 calories. Nutritionally, it includes 50.0 grams of fat, 0.133 grams of cholesterol, and 0.0034 grams of iron, along with 0.0 grams of sugars and 5.4 grams of carbohydrates."
937,"With 174.0 calories, Cheese, whole milk, ricotta offers 13.0 grams of fat, 0.051 grams of cholesterol, 0.00038 grams of iron, 0.27 grams of sugars, and 3.04 grams of carbohydrates."
938,"SILK French Vanilla Creamer serves up 133.0 calories. Nutritionally, it contains 6.7 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 20.0 grams of sugars and 20.0 grams of carbohydrates."
939,"Bread, canned, boston brown demonstrates 195.0 calories. The nutritional content includes 1.5 grams of fat, 0.001 grams of cholesterol, and 0.0021000000000000003 grams of iron, along with 2.42 grams of sugars and 43.3 grams of carbohydrates."
940,"Cheese, queso blanco, white equals 310.0 calories. Nutritionally, it includes 24.0 grams of fat, 0.07 grams of cholesterol, and 0.00017999999999999998 grams of iron, along with 1.76 grams of sugars and 2.53 grams of carbohydrates."
941,"Cheese, queso fresco, fresh holds 299.0 calories. It contains 24.0 grams of fat, 0.069 grams of cholesterol, and 0.0002 grams of iron, along with 2.32 grams of sugars and 2.98 grams of carbohydrates."
942,"Beverages, powder, Lemonade offers 376.0 calories. The nutritional breakdown includes 1.1 grams of fat, 0.0 grams of cholesterol, and 0.00019 grams of iron, along with 94.7 grams of sugars and 97.57 grams of carbohydrates."
943,"Apricots, sweetened, frozen reveals 98.0 calories. It contains 0.1 grams of fat, 0.0 grams of cholesterol, and 0.0009 grams of iron, as well as 0.0 grams of sugars and 25.1 grams of carbohydrates."
944,"Muffins, toaster-type, corn contains 346.0 calories. In terms of nutrition, it has 11.0 grams of fat, 0.013 grams of cholesterol, and 0.00147 grams of iron. Additionally, it includes 0.0 grams of sugar and 57.9 grams of carbs."
945,"Tomatoes, cooked, ripe, red holds 18.0 calories. It contains 0.1 grams of fat, 0.0 grams of cholesterol, and 0.00068 grams of iron, along with 2.49 grams of sugars and 4.01 grams of carbohydrates."
946,"Squash, raw, baby, zucchini comprises 21.0 calories. It includes 0.4 grams of fat, 0.0 grams of cholesterol, and 0.00079 grams of iron, as well as 0.0 grams of sugars and 3.11 grams of carbohydrates."
947,"HORMEL Canadian Style Bacon packs 122.0 calories. It has 4.9 grams of fat, 0.049 grams of cholesterol, and 0.0009 grams of iron, as well as 1.43 grams of sugars and 1.87 grams of carbohydrates."
948,"McDONALD'S, QUARTER POUNDER features 244.0 calories. The nutritional profile includes 12.0 grams of fat, 0.039 grams of cholesterol, and 0.0024100000000000002 grams of iron, along with 5.13 grams of sugars and 22.17 grams of carbohydrates."
949,"Brotwurst, link, beef, pork contains 323.0 calories. It has 28.0 grams of fat, 0.063 grams of cholesterol, and 0.00103 grams of iron, plus 2.98 grams of sugars and 2.98 grams of carbohydrates."
950,"Pork, cooked, ground, fresh generates 297.0 calories. The nutritional breakdown includes 21.0 grams of fat, 0.094 grams of cholesterol, and 0.0012900000000000001 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
951,"Sausage, raw, pork, Italian yields 346.0 calories. Nutritionally, it includes 31.0 grams of fat, 0.076 grams of cholesterol, and 0.0011799999999999998 grams of iron, along with 0.0 grams of sugars and 0.65 grams of carbohydrates."
952,"Ham and cheese loaf or roll features 241.0 calories. The nutritional profile includes 19.0 grams of fat, 0.058 grams of cholesterol, and 0.00091 grams of iron, along with 0.0 grams of sugars and 4.0 grams of carbohydrates."
953,"The food item CRACKER BARREL, steak fries provides 255.0 calories. You can find 13.0 grams of fat, 0.0 grams of cholesterol, and 0.00069 grams of iron. It also contains 0.86 grams of sugars and 30.87 grams of carbohydrates."
954,"The food named McDONALD'S, Sausage Burrito has 277.0 calories. It contains 16.0 grams of fat, 0.137 grams of cholesterol, 0.00228 grams of iron, 2.57 grams of sugar, and 22.97 grams of carbohydrates."
955,"Candies, CHUNKY Bar, NESTLE makes up 475.0 calories. The nutritional breakdown includes 28.0 grams of fat, 0.01 grams of cholesterol, and 0.0009 grams of iron, along with 52.5 grams of sugars and 60.0 grams of carbohydrates."
956,"Fish, raw, freshwater, drum amounts to 119.0 calories. It includes 4.9 grams of fat, 0.064 grams of cholesterol, and 0.0009 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
957,"Pate, canned, chicken liver comprises 201.0 calories. It includes 13.0 grams of fat, 0.391 grams of cholesterol, and 0.00919 grams of iron, as well as 0.0 grams of sugars and 6.55 grams of carbohydrates."
958,"BURGER KING, Chicken Strips shows 292.0 calories. The nutritional breakdown includes 15.0 grams of fat, 0.044 grams of cholesterol, and 0.00062 grams of iron, along with 0.0 grams of sugars and 20.49 grams of carbohydrates."
959,"Pork, raw, salt pork, cured carries 748.0 calories. It has 81.0 grams of fat, 0.086 grams of cholesterol, and 0.00044 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
960,"Cereals ready-to-eat, ALPEN makes up 352.0 calories. The nutritional breakdown includes 3.3 grams of fat, 0.0 grams of cholesterol, and 0.003 grams of iron, along with 20.0 grams of sugars and 75.7 grams of carbohydrates."
961,"Light ice cream, Creamsicle shows 165.0 calories. The nutritional breakdown includes 3.1 grams of fat, 0.008 grams of cholesterol, and 0.0 grams of iron, along with 18.46 grams of sugars and 32.75 grams of carbohydrates."
962,"Toppings, marshmallow cream displays 322.0 calories. Nutritionally, it includes 0.3 grams of fat, 0.0 grams of cholesterol, and 0.00022 grams of iron, along with 46.8 grams of sugars and 79.0 grams of carbohydrates."
963,"Fish, raw, Pacific, herring carries 195.0 calories. It has 14.0 grams of fat, 0.077 grams of cholesterol, and 0.0011200000000000001 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
964,"Sandwich spread, beef, pork is a food with 235.0 calories. It provides 17.0 grams of fat, 0.038 grams of cholesterol, and 0.00079 grams of iron. You can also find 0.0 grams of sugars and 11.94 grams of carbohydrates in it."
965,"Nuts, hazelnuts or filberts accounts for 628.0 calories. Nutritionally, it contains 61.0 grams of fat, 0.0 grams of cholesterol, and 0.0047 grams of iron, along with 4.34 grams of sugars and 16.7 grams of carbohydrates."
966,"Babyfood, teething biscuits encompasses 392.0 calories. It contains 4.2 grams of fat, 0.007 grams of cholesterol, and 0.0035499999999999998 grams of iron, along with 12.65 grams of sugars and 76.4 grams of carbohydrates."
967,"PACE, Organic Picante Sauce holds 25.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 6.25 grams of sugars and 6.25 grams of carbohydrates."
968,"The food named Peppers, raw, yellow, sweet has 27.0 calories. It contains 0.2 grams of fat, 0.0 grams of cholesterol, 0.00046 grams of iron, 0.0 grams of sugar, and 6.32 grams of carbohydrates."
969,"With 164.0 calories, Fish, raw, florida, pompano offers 9.5 grams of fat, 0.05 grams of cholesterol, 0.0006 grams of iron, 0.0 grams of sugars, and 0.0 grams of carbohydrates."
970,"Potato salad, home-prepared encompasses 143.0 calories. It contains 8.2 grams of fat, 0.068 grams of cholesterol, and 0.00065 grams of iron, along with 0.0 grams of sugars and 11.17 grams of carbohydrates."
971,"GIRL SCOUTS, Chalet Cookies makes up 478.0 calories. The nutritional breakdown includes 19.0 grams of fat, 0.0 grams of cholesterol, and 0.0033 grams of iron, along with 35.4 grams of sugars and 72.3 grams of carbohydrates."
972,"With 489.0 calories, GIRL SCOUTS, Samoas Cookies offers 26.0 grams of fat, 0.002 grams of cholesterol, 0.0032 grams of iron, 35.8 grams of sugars, and 64.1 grams of carbohydrates."
973,"Cheese, semisoft type, goat has a calorie count of 364.0. It provides 30.0 grams of fat, 0.079 grams of cholesterol, and 0.0016200000000000001 grams of iron. It also contains 0.12 grams of sugar and 0.12 grams of carbs."
974,"Game meat, raw, ground, elk consists of 172.0 calories. It contains 8.8 grams of fat, 0.066 grams of cholesterol, and 0.00275 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
975,"Candies, unsweetened, carob exhibits 540.0 calories. It contains 31.0 grams of fat, 0.001 grams of cholesterol, and 0.0012900000000000001 grams of iron, as well as 34.11 grams of sugars and 56.29 grams of carbohydrates."
976,"Babyfood, toddler, potatoes makes up 52.0 calories. The nutritional breakdown includes 0.1 grams of fat, 0.0 grams of cholesterol, and 0.0002 grams of iron, along with 0.91 grams of sugars and 11.73 grams of carbohydrates."
977,"Veal, cooked, seam fat only reflects 505.0 calories. Nutritionally, it includes 50.0 grams of fat, 0.082 grams of cholesterol, and 0.00115 grams of iron, along with 0.0 grams of sugars and 2.11 grams of carbohydrates."
978,"Sauce, ready-to-serve, duck totals 245.0 calories. It contains 0.1 grams of fat, 0.0 grams of cholesterol, and 0.00039 grams of iron, as well as 30.54 grams of sugars and 60.61 grams of carbohydrates."
979,"The food item Corn dogs, prepared, frozen provides 250.0 calories. You can find 12.0 grams of fat, 0.044 grams of cholesterol, and 0.0019 grams of iron. It also contains 7.54 grams of sugars and 26.96 grams of carbohydrates."
980,"Seeds, paste, sesame butter carries 586.0 calories. It has 51.0 grams of fat, 0.0 grams of cholesterol, and 0.0192 grams of iron, as well as 0.0 grams of sugars and 24.05 grams of carbohydrates."
981,"Noodles, enriched, dry, egg holds 384.0 calories. It contains 4.4 grams of fat, 0.084 grams of cholesterol, and 0.00401 grams of iron, along with 1.88 grams of sugars and 71.27 grams of carbohydrates."
982,"With 274.0 calories, Persimmons, dried, japanese offers 0.6 grams of fat, 0.0 grams of cholesterol, 0.00074 grams of iron, 0.0 grams of sugars, and 73.43 grams of carbohydrates."
983,"Carrots, unprepared, frozen amounts to 36.0 calories. It includes 0.5 grams of fat, 0.0 grams of cholesterol, and 0.00044 grams of iron, along with 4.76 grams of sugars and 7.9 grams of carbohydrates."
984,"Carambola, raw, (starfruit) contains 31.0 calories. In terms of nutrition, it has 0.3 grams of fat, 0.0 grams of cholesterol, and 8e-05 grams of iron. Additionally, it includes 3.98 grams of sugar and 6.73 grams of carbs."
985,"Fast foods, chicken tenders encompasses 271.0 calories. It contains 14.0 grams of fat, 0.048 grams of cholesterol, and 0.00073 grams of iron, along with 0.4 grams of sugars and 17.25 grams of carbohydrates."
986,"With 155.0 calories, Beans, home prepared, baked offers 5.2 grams of fat, 0.005 grams of cholesterol, 0.00199 grams of iron, 0.0 grams of sugars, and 21.63 grams of carbohydrates."
987,"Cream, half and half, fluid generates 123.0 calories. The nutritional breakdown includes 10.0 grams of fat, 0.035 grams of cholesterol, and 5e-05 grams of iron, along with 4.13 grams of sugars and 4.73 grams of carbohydrates."
988,"SILK Light Vanilla, soymilk boasts 33.0 calories. The nutritional content includes 0.8 grams of fat, 0.0 grams of cholesterol, and 0.00044 grams of iron, as well as 2.88 grams of sugars and 4.12 grams of carbohydrates."
989,"Turnips, unprepared, frozen produces 16.0 calories. It contains 0.2 grams of fat, 0.0 grams of cholesterol, and 0.0007 grams of iron, as well as 0.0 grams of sugars and 2.94 grams of carbohydrates."
990,"PACE, Cilantro Chunky Salsa amounts to 25.0 calories. It includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 6.25 grams of sugars and 6.25 grams of carbohydrates."
